iter	Passed	Remaining
0	139	139346
1	141	70390
2	142	47461
3	144	35947
4	145	29032
5	147	24432
6	149	21152
7	150	18682
8	152	16753
9	153	15205
10	155	13950
11	156	12898
12	158	12009
13	159	11250
14	161	10588
15	162	10006
16	164	9502
17	165	9054
18	167	8653
19	169	8288
20	170	7962
21	172	7663
22	173	7389
23	175	7140
24	177	6907
25	178	6690
26	180	6495
27	181	6313
28	183	6142
29	184	5977
30	186	5823
31	187	5679
32	189	5550
33	191	5428
34	192	5299
35	193	5178
36	194	5065
37	195	4959
38	197	4859
39	198	4757
40	199	4659
41	200	4566
42	201	4477
43	202	4393
44	203	4313
45	204	4237
46	205	4163
47	206	4094
48	207	4026
49	208	3963
50	209	3902
51	210	3841
52	211	3783
53	212	3727
54	213	3674
55	214	3622
56	215	3571
57	216	3522
58	217	3475
59	218	3429
60	219	3384
61	220	3340
62	221	3297
63	222	3253
64	223	3212
65	224	3172
66	225	3134
67	225	3091
68	226	3054
69	227	3019
70	227	2982
71	228	2946
72	229	2912
73	229	2878
74	230	2845
75	231	2812
76	232	2782
77	232	2751
78	233	2722
79	234	2691
80	234	2662
81	235	2633
82	235	2606
83	236	2579
84	236	2551
85	237	2525
86	238	2498
87	238	2475
88	239	2451
89	240	2427
90	240	2404
91	241	2381
92	241	2358
93	242	2336
94	242	2314
95	243	2293
96	244	2272
97	244	2252
98	245	2232
99	245	2213
100	246	2194
101	246	2172
102	247	2154
103	247	2135
104	248	2117
105	249	2100
106	249	2083
107	250	2065
108	250	2049
109	251	2033
110	251	2017
111	252	2001
112	253	1986
113	253	1970
114	254	1956
115	254	1941
116	255	1927
117	256	1913
118	256	1899
119	257	1886
120	257	1872
121	258	1859
122	258	1844
123	259	1831
124	259	1819
125	260	1806
126	261	1794
127	261	1781
128	262	1769
129	262	1757
130	263	1746
131	263	1734
132	264	1723
133	265	1712
134	265	1701
135	266	1690
136	266	1680
137	267	1669
138	267	1658
139	268	1648
140	268	1638
141	269	1628
142	270	1619
143	270	1609
144	271	1599
145	271	1589
146	272	1580
147	272	1571
148	273	1561
149	274	1552
150	274	1543
151	275	1535
152	275	1526
153	276	1518
154	276	1509
155	277	1501
156	277	1492
157	278	1484
158	279	1476
159	279	1468
160	280	1460
161	280	1452
162	281	1445
163	281	1437
164	282	1429
165	283	1422
166	283	1415
167	284	1408
168	284	1401
169	285	1394
170	286	1387
171	286	1380
172	287	1373
173	287	1366
174	288	1359
175	288	1352
176	289	1346
177	290	1339
178	290	1333
179	291	1326
180	291	1318
181	292	1312
182	292	1306
183	293	1299
184	293	1293
185	294	1288
186	294	1282
187	295	1276
188	295	1270
189	296	1264
190	297	1257
191	297	1252
192	298	1246
193	298	1240
194	299	1234
195	299	1229
196	300	1223
197	300	1218
198	301	1212
199	301	1206
200	302	1201
201	302	1196
202	303	1190
203	303	1185
204	304	1179
205	304	1174
206	305	1169
207	305	1164
208	306	1159
209	306	1154
210	307	1149
211	307	1144
212	308	1139
213	308	1134
214	309	1130
215	310	1125
216	310	1120
217	311	1115
218	311	1111
219	312	1106
220	312	1102
221	313	1098
222	313	1094
223	314	1090
224	315	1085
225	315	1081
226	316	1077
227	316	1073
228	317	1068
229	318	1064
230	318	1060
231	319	1056
232	319	1052
233	320	1048
234	320	1044
235	321	1040
