iter	Passed	Remaining
0	0	889
1	1	773
2	2	740
3	2	725
4	3	712
5	4	699
6	4	689
7	5	684
8	6	679
9	6	677
10	7	673
11	8	681
12	9	691
13	9	694
14	10	702
15	11	718
16	12	712
17	12	707
18	13	701
19	14	699
20	14	694
21	15	691
22	16	687
23	16	684
24	17	681
25	18	678
26	18	675
27	19	674
28	20	671
29	20	667
30	21	665
31	21	663
32	22	662
33	23	663
34	24	665
35	24	668
36	25	669
37	26	668
38	27	667
39	27	664
40	28	662
41	28	661
42	29	659
43	30	657
44	30	655
45	31	652
46	32	650
47	32	649
48	33	647
49	34	646
50	34	644
51	35	643
52	35	641
53	36	641
54	37	638
55	37	639
56	38	638
57	39	638
58	39	637
59	40	638
60	41	636
61	41	635
62	42	634
63	43	633
64	43	631
65	44	630
66	45	629
67	45	628
68	46	627
69	47	626
70	47	624
71	48	623
72	49	622
73	49	620
74	50	619
75	50	617
76	51	615
77	51	613
78	52	612
79	53	611
80	53	612
81	54	612
82	55	608
83	55	608
84	56	607
85	57	606
86	57	605
87	58	604
88	59	604
89	59	602
90	60	602
91	60	601
92	61	600
93	62	599
94	62	598
95	63	598
96	64	597
97	64	597
98	65	596
99	66	595
100	66	594
101	67	593
102	68	592
103	68	592
104	69	592
105	70	593
106	70	592
107	71	591
108	72	590
109	72	590
110	73	589
111	74	588
112	74	587
113	75	586
114	76	586
115	76	585
116	77	584
117	78	583
118	78	582
119	79	580
120	79	579
121	80	577
122	80	577
123	81	576
124	82	575
125	82	575
126	83	574
127	84	573
128	84	573
129	85	573
130	86	572
131	86	571
132	87	569
133	88	568
134	88	567
135	89	566
136	89	565
137	90	564
138	90	563
139	91	562
140	92	561
141	92	558
142	93	557
143	93	556
144	94	555
145	94	554
146	95	553
147	95	552
148	96	551
149	97	550
150	97	548
151	98	547
152	98	547
153	99	546
154	100	546
155	100	546
156	101	545
157	102	543
158	102	542
159	103	541
160	103	539
161	104	540
162	105	540
163	105	538
164	106	537
165	106	536
166	107	535
167	107	534
168	108	533
169	109	532
170	109	531
171	110	530
172	110	529
173	111	527
174	111	526
175	112	525
176	112	524
177	113	523
178	114	523
179	114	522
180	115	522
181	116	522
182	116	521
183	117	520
184	117	519
185	118	518
186	119	518
187	119	517
188	120	516
189	121	516
190	121	514
191	122	514
192	122	513
193	123	512
194	123	511
195	124	510
196	125	509
197	125	508
198	126	507
199	126	506
200	127	505
201	127	505
202	128	504
203	129	504
204	130	504
205	131	505
206	131	504
207	132	504
208	133	503
209	133	502
210	134	501
211	134	501
212	135	500
213	135	499
214	136	498
215	137	497
216	137	496
217	138	495
218	138	494
219	139	493
220	139	492
221	140	491
222	140	490
223	141	489
224	141	488
225	142	487
226	142	486
227	143	485
228	144	486
229	145	486
230	146	487
231	147	486
232	147	486
233	148	486
234	149	485
235	149	485
236	150	484
237	151	483
238	151	483
239	152	482
240	152	481
241	153	480
242	153	479
243	154	478
244	154	477
245	155	476
246	155	475
247	156	474
248	156	473
249	157	472
250	158	472
251	159	472
252	160	472
253	161	472
254	161	472
255	162	471
256	162	470
257	163	470
258	164	469
259	164	468
260	165	468
261	165	467
262	166	466
263	166	465
264	167	464
265	168	463
266	168	462
267	169	461
268	169	460
269	170	459
270	170	459
271	171	458
272	171	457
273	172	456
274	172	456
275	173	455
276	174	455
277	175	454
278	175	454
279	176	454
280	177	454
281	178	454
282	179	453
283	179	453
284	180	452
285	180	451
286	181	450
287	182	450
288	182	449
289	183	448
290	183	447
291	184	447
292	184	446
293	185	445
294	186	444
295	186	444
296	187	443
297	188	443
298	188	442
299	189	441
300	190	441
301	190	441
302	191	441
303	192	440
304	193	440
305	193	439
306	194	439
307	195	438
308	195	437
309	196	436
310	196	436
311	197	435
312	197	434
313	198	433
314	199	432
315	199	432
316	200	431
317	200	430
318	201	430
319	202	429
320	202	428
321	203	428
322	203	427
323	204	426
324	205	426
325	206	425
326	206	425
327	207	424
328	207	424
329	208	423
330	209	422
331	209	422
332	210	421
333	211	420
334	211	420
335	212	419
336	212	418
337	213	417
338	213	416
339	214	416
340	215	415
341	215	414
342	216	414
343	216	413
344	217	412
345	217	411
346	218	411
347	219	410
348	220	410
349	220	410
350	221	409
351	222	409
352	222	408
353	223	407
354	224	407
355	224	406
356	225	405
357	225	404
358	226	404
359	226	403
360	227	402
361	228	402
362	228	401
363	229	400
364	229	399
365	230	399
366	231	398
367	231	397
368	232	396
369	232	396
370	233	395
371	233	394
372	234	394
373	235	394
374	236	393
375	236	392
376	237	392
377	237	391
378	238	390
379	239	390
380	239	389
381	240	388
382	240	388
383	241	387
384	242	386
385	242	385
386	243	385
387	243	384
388	244	383
389	244	382
390	245	382
391	246	381
392	246	381
393	247	380
394	247	379
395	248	378
396	248	378
397	249	377
398	250	377
399	251	376
400	251	376
401	252	375
402	253	374
403	253	374
404	254	373
405	254	372
406	255	372
407	255	371
408	256	370
409	257	369
410	257	369
411	258	368
412	258	367
413	259	367
414	259	366
415	260	365
416	261	365
417	261	364
418	262	363
419	262	362
420	263	362
421	264	361
422	264	361
423	265	360
424	266	360
425	266	359
426	267	358
427	267	358
428	268	357
429	269	356
430	269	356
431	270	355
432	270	354
433	271	353
434	271	353
435	272	352
436	272	351
437	273	350
438	273	350
439	274	349
440	275	348
441	275	348
442	276	347
443	276	346
444	277	345
445	277	345
446	278	344
447	279	343
448	279	343
449	280	342
450	281	342
451	281	341
452	282	341
453	283	340
454	283	339
455	284	339
456	285	338
457	285	337
458	286	337
459	286	336
460	287	335
461	287	335
462	288	334
463	289	333
464	289	333
465	290	332
466	290	331
467	291	331
468	292	330
469	292	329
470	293	329
471	293	328
472	294	327
473	295	327
474	295	326
475	296	326
476	297	325
477	297	325
478	298	324
479	298	323
480	299	323
481	300	322
482	300	321
483	301	321
484	301	320
485	302	319
486	302	319
487	303	318
488	304	317
489	304	317
490	305	316
491	305	315
492	306	315
493	306	314
494	307	313
495	307	312
496	308	312
497	309	311
498	309	310
499	310	310
500	311	309
501	311	309
502	312	308
503	313	308
504	313	307
505	314	306
506	314	306
507	315	305
508	315	304
509	316	304
